"_id","totalProfit","totalRevenue","totalExpenses","monthlyData__month","monthlyData__revenue","monthlyData__expenses","monthlyData__operationalExpenses","monthlyData__nonOperationalExpenses","dailyData__date","dailyData__revenue","dailyData__expenses","expensesByCategory__salaries","expensesByCategory__supplies","expensesByCategory__services"
"63bf8239f03239e002001612","$212000.00","$283000.00","$71000.00","january","$15989.64","$14231.73","$10340.03","$4891.70","2022-01-02","$1498.94","$430.64","$38000.00","$13000.00","$10000.00"
"","","","","february","$15832.77","$11677.84","$7006.69","$8661.15","2022-01-03","$935.08","$329.32","","",""
"","","","","march","$16481.27","$14664.03","$8797.42","$7866.61","2022-01-04","$1350.96","$562.49","","",""
"","","","","april","$18229.38","$12336.52","$7401.91","$2934.61","2022-01-05","$1244.33","$679.32","","",""
"","","","","may","$17401.79","$11160.61","$4296.37","$4864.24","2022-01-06","$1132.99","$439.80","","",""
"","","","","june","$18274.03","$12311.61","$7386.96","$9924.65","2022-01-07","$1158.31","$336.12","","",""
"","","","","july","$19349.98","$15431.81","$9258.09","$7173.72","2022-01-08","$1184.66","$516.10","","",""
"","","","","august","$16647.29","$13213.71","$3127.82","$5085.89","2022-01-09","$637.32","$635.06","","",""
"","","","","september","$19344.07","$17405.92","$10443.55","$4962.37","2022-01-10","$1315.21","$560.12","","",""
"","","","","october","$21160.22","$12990.58","$3594.35","$9396.23","2022-01-11","$1093.06","$540.05","","",""
"","","","","november","$22655.03","$17140.80","$10284.48","$3856.32","2022-01-12","$1477.77","$487.16","","",""
"","","","","december","$17757.75","$15266.97","$9160.18","$4106.79","2022-01-13","$1076.09","$616.29","","",""
"","","","","","","","","","2022-01-14","$1130.96","$392.17","","",""
"","","","","","","","","","2022-01-15","$846.42","$548.38","","",""
"","","","","","","","","","2022-01-16","$1182.35","$366.72","","",""
"","","","","","","","","","2022-01-17","$1046.61","$481.56","","",""
"","","","","","","","","","2022-01-18","$601.65","$452.75","","",""
"","","","","","","","","","2022-01-19","$798.33","$351.23","","",""
"","","","","","","","","","2022-01-20","$1499.37","$340.85","","",""
"","","","","","","","","","2022-01-21","$1462.26","$630.31","","",""
"","","","","","","","","","2022-01-22","$1447.38","$476.59","","",""
"","","","","","","","","","2022-01-23","$1194.96","$482.85","","",""
"","","","","","","","","","2022-01-24","$713.11","$754.33","","",""
"","","","","","","","","","2022-01-25","$1084.48","$547.37","","",""
"","","","","","","","","","2022-01-26","$819.53","$653.59","","",""
"","","","","","","","","","2022-01-27","$1306.61","$636.87","","",""
"","","","","","","","","","2022-01-28","$1029.78","$719.46","","",""
"","","","","","","","","","2022-01-29","$1415.18","$387.49","","",""
"","","","","","","","","","2022-01-30","$845.38","$533.93","","",""
"","","","","","","","","","2022-01-31","$764.69","$762.35","","",""
"","","","","","","","","","2022-02-01","$616.49","$658.92","","",""
"","","","","","","","","","2022-02-02","$677.71","$754.69","","",""
"","","","","","","","","","2022-02-03","$576.99","$395.43","","",""
"","","","","","","","","","2022-02-04","$713.58","$733.27","","",""
"","","","","","","","","","2022-02-05","$714.18","$336.24","","",""
"","","","","","","","","","2022-02-06","$807.64","$534.49","","",""
"","","","","","","","","","2022-02-07","$824.40","$743.82","","",""
"","","","","","","","","","2022-02-08","$975.30","$307.51","","",""
"","","","","","","","","","2022-02-09","$1098.58","$615.31","","",""
"","","","","","","","","","2022-02-10","$1119.34","$677.04","","",""
"","","","","","","","","","2022-02-11","$1232.39","$664.69","","",""
"","","","","","","","","","2022-02-12","$1405.21","$422.57","","",""
"","","","","","","","","","2022-02-13","$1343.47","$350.77","","",""
"","","","","","","","","","2022-02-14","$1495.81","$301.39","","",""
"","","","","","","","","","2022-02-15","$1131.97","$597.06","","",""
"","","","","","","","","","2022-02-16","$1174.17","$685.08","","",""
"","","","","","","","","","2022-02-17","$702.38","$671.23","","",""
"","","","","","","","","","2022-02-18","$1440.95","$539.55","","",""
"","","","","","","","","","2022-02-19","$1272.87","$703.02","","",""
"","","","","","","","","","2022-02-20","$530.16","$305.75","","",""
"","","","","","","","","","2022-02-21","$552.26","$556.19","","",""
"","","","","","","","","","2022-02-22","$1456.57","$675.05","","",""
"","","","","","","","","","2022-02-23","$512.04","$576.37","","",""
"","","","","","","","","","2022-02-24","$886.31","$410.14","","",""
"","","","","","","","","","2022-02-25","$1254.55","$321.41","","",""
"","","","","","","","","","2022-02-26","$1123.03","$480.50","","",""
"","","","","","","","","","2022-02-27","$671.45","$494.61","","",""
"","","","","","","","","","2022-02-28","$1373.22","$312.67","","",""
"","","","","","","","","","2022-03-01","$896.75","$696.92","","",""
"","","","","","","","","","2022-03-02","$721.53","$505.34","","",""
"","","","","","","","","","2022-03-03","$560.48","$541.09","","",""
"","","","","","","","","","2022-03-04","$1065.40","$733.90","","",""
"","","","","","","","","","2022-03-05","$692.26","$462.62","","",""
"","","","","","","","","","2022-03-06","$832.86","$642.28","","",""
"","","","","","","","","","2022-03-07","$709.00","$742.25","","",""
"","","","","","","","","","2022-03-08","$1442.66","$596.24","","",""
"","","","","","","","","","2022-03-09","$542.74","$655.54","","",""
"","","","","","","","","","2022-03-10","$526.11","$530.28","","",""
"","","","","","","","","","2022-03-11","$658.47","$352.21","","",""
"","","","","","","","","","2022-03-12","$996.34","$749.20","","",""
"","","","","","","","","","2022-03-13","$770.93","$516.91","","",""
"","","","","","","","","","2022-03-14","$617.37","$758.07","","",""
"","","","","","","","","","2022-03-15","$786.48","$451.41","","",""
"","","","","","","","","","2022-03-16","$540.91","$756.89","","",""
"","","","","","","","","","2022-03-17","$919.24","$701.41","","",""
"","","","","","","","","","2022-03-18","$909.23","$638.37","","",""
"","","","","","","","","","2022-03-19","$546.92","$465.94","","",""
"","","","","","","","","","2022-03-20","$1233.13","$441.79","","",""
"","","","","","","","","","2022-03-21","$1494.34","$333.61","","",""
"","","","","","","","","","2022-03-22","$610.14","$565.13","","",""
"","","","","","","","","","2022-03-23","$1044.45","$704.07","","",""
"","","","","","","","","","2022-03-24","$790.03","$393.17","","",""
"","","","","","","","","","2022-03-25","$915.05","$709.24","","",""
"","","","","","","","","","2022-03-26","$620.99","$309.02","","",""
"","","","","","","","","","2022-03-27","$1404.61","$649.14","","",""
"","","","","","","","","","2022-03-28","$727.52","$580.27","","",""
"","","","","","","","","","2022-03-29","$618.69","$503.99","","",""
"","","","","","","","","","2022-03-30","$806.00","$545.37","","",""
"","","","","","","","","","2022-03-31","$629.04","$449.41","","",""
"","","","","","","","","","2022-04-01","$1197.71","$524.89","","",""
"","","","","","","","","","2022-04-02","$1347.49","$779.95","","",""
"","","","","","","","","","2022-04-03","$845.73","$373.66","","",""
"","","","","","","","","","2022-04-04","$701.97","$424.72","","",""
"","","","","","","","","","2022-04-05","$699.12","$652.28","","",""
"","","","","","","","","","2022-04-06","$1487.15","$527.12","","",""
"","","","","","","","","","2022-04-07","$770.93","$455.04","","",""
"","","","","","","","","","2022-04-08","$823.81","$686.44","","",""
"","","","","","","","","","2022-04-09","$1190.89","$501.52","","",""
"","","","","","","","","","2022-04-10","$667.10","$792.51","","",""
"","","","","","","","","","2022-04-11","$712.50","$325.40","","",""
"","","","","","","","","","2022-04-12","$1113.94","$610.37","","",""
"","","","","","","","","","2022-04-13","$755.04","$413.31","","",""
"","","","","","","","","","2022-04-14","$903.46","$592.64","","",""
"","","","","","","","","","2022-04-15","$668.47","$439.13","","",""
"","","","","","","","","","2022-04-16","$1053.55","$723.14","","",""
"","","","","","","","","","2022-04-17","$574.82","$627.62","","",""
"","","","","","","","","","2022-04-18","$732.19","$545.84","","",""
"","","","","","","","","","2022-04-19","$1214.28","$585.94","","",""
"","","","","","","","","","2022-04-20","$844.63","$668.86","","",""
"","","","","","","","","","2022-04-21","$545.95","$450.46","","",""
"","","","","","","","","","2022-04-22","$925.01","$588.16","","",""
"","","","","","","","","","2022-04-23","$840.44","$324.07","","",""
"","","","","","","","","","2022-04-24","$799.81","$320.28","","",""
"","","","","","","","","","2022-04-25","$1108.47","$330.84","","",""
"","","","","","","","","","2022-04-26","$572.72","$605.23","","",""
"","","","","","","","","","2022-04-27","$1416.82","$746.86","","",""
"","","","","","","","","","2022-04-28","$1344.54","$448.10","","",""
"","","","","","","","","","2022-04-29","$957.31","$653.00","","",""
"","","","","","","","","","2022-04-30","$1042.75","$686.48","","",""
"","","","","","","","","","2022-05-01","$614.52","$399.34","","",""
"","","","","","","","","","2022-05-02","$968.08","$490.92","","",""
"","","","","","","","","","2022-05-03","$818.17","$666.67","","",""
"","","","","","","","","","2022-05-04","$787.90","$641.50","","",""
"","","","","","","","","","2022-05-05","$887.20","$456.85","","",""
"","","","","","","","","","2022-05-06","$926.64","$595.10","","",""
"","","","","","","","","","2022-05-07","$667.62","$652.33","","",""
"","","","","","","","","","2022-05-08","$1450.41","$660.60","","",""
"","","","","","","","","","2022-05-09","$1009.90","$479.36","","",""
"","","","","","","","","","2022-05-10","$547.53","$554.87","","",""
"","","","","","","","","","2022-05-11","$579.74","$432.36","","",""
"","","","","","","","","","2022-05-12","$597.11","$411.56","","",""
"","","","","","","","","","2022-05-13","$1300.97","$654.18","","",""
"","","","","","","","","","2022-05-14","$1042.83","$715.01","","",""
"","","","","","","","","","2022-05-15","$1345.61","$334.37","","",""
"","","","","","","","","","2022-05-16","$768.61","$425.22","","",""
"","","","","","","","","","2022-05-17","$1175.15","$729.16","","",""
"","","","","","","","","","2022-05-18","$767.39","$779.83","","",""
"","","","","","","","","","2022-05-19","$969.34","$341.02","","",""
"","","","","","","","","","2022-05-20","$993.34","$530.27","","",""
"","","","","","","","","","2022-05-21","$968.98","$597.76","","",""
"","","","","","","","","","2022-05-22","$628.01","$574.00","","",""
"","","","","","","","","","2022-05-23","$842.68","$402.90","","",""
"","","","","","","","","","2022-05-24","$986.72","$365.50","","",""
"","","","","","","","","","2022-05-25","$1321.66","$536.73","","",""
"","","","","","","","","","2022-05-26","$806.21","$499.02","","",""
"","","","","","","","","","2022-05-27","$886.34","$776.51","","",""
"","","","","","","","","","2022-05-28","$663.62","$718.90","","",""
"","","","","","","","","","2022-05-29","$546.73","$729.32","","",""
"","","","","","","","","","2022-05-30","$1284.65","$355.50","","",""
"","","","","","","","","","2022-05-31","$1422.81","$776.55","","",""
"","","","","","","","","","2022-06-01","$678.50","$767.03","","",""
"","","","","","","","","","2022-06-02","$867.65","$581.76","","",""
"","","","","","","","","","2022-06-03","$674.84","$666.78","","",""
"","","","","","","","","","2022-06-04","$595.25","$354.79","","",""
"","","","","","","","","","2022-06-05","$1262.15","$588.65","","",""
"","","","","","","","","","2022-06-06","$1286.75","$403.69","","",""
"","","","","","","","","","2022-06-07","$731.00","$532.55","","",""
"","","","","","","","","","2022-06-08","$1096.82","$328.76","","",""
"","","","","","","","","","2022-06-09","$1113.24","$749.16","","",""
"","","","","","","","","","2022-06-10","$1479.08","$417.01","","",""
"","","","","","","","","","2022-06-11","$1023.70","$326.53","","",""
"","","","","","","","","","2022-06-12","$953.94","$426.52","","",""
"","","","","","","","","","2022-06-13","$1154.32","$565.70","","",""
"","","","","","","","","","2022-06-14","$1431.49","$398.88","","",""
"","","","","","","","","","2022-06-15","$1206.06","$442.20","","",""
"","","","","","","","","","2022-06-16","$1441.07","$730.36","","",""
"","","","","","","","","","2022-06-17","$664.42","$583.27","","",""
"","","","","","","","","","2022-06-18","$569.78","$556.95","","",""
"","","","","","","","","","2022-06-19","$619.93","$519.31","","",""
"","","","","","","","","","2022-06-20","$1232.45","$410.94","","",""
